Engine Information/Transmission,Engine Information/Engine Type,Engine Information/Engine Statistics/Horsepower,Engine Information/Engine Statistics/Torque,Engine Information/Hybrid,Engine Information/Number of Forward Gears,Engine Information/Driveline,Identification/Make,Identification/Model Year,Identification/ID,Identification/Classification,Identification/Year,Dimensions/Width,Dimensions/Length,Dimensions/Height,Fuel Information/Highway mpg,Fuel Information/City mph,Fuel Information/Fuel Type
6 Speed Automatic Select Shift,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,555,500,FALSE,6,All-wheel drive,BMW,2011 BMW X5,2011 BMW X5 M SUV,Automatic transmission,2011,201,243,226,17,12,Gasoline
6 Speed Automatic Select Shift,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,555,500,FALSE,6,All-wheel drive,BMW,2010 BMW X6,2010 BMW X6 M,Automatic transmission,2010,191,12,148,17,12,Gasoline
6 Speed Automatic Select Shift,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,555,500,FALSE,6,All-wheel drive,BMW,2011 BMW X6,2011 BMW X6 M,Automatic transmission,2011,191,12,148,17,12,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2012 Chevrolet Colorado,2012 Chevrolet Colorado Work Truck,Manual transmission,2012,181,22,112,25,18,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2012 Chevrolet Colorado,2012 Chevrolet Colorado Extended Cab Work Truck,Manual transmission,2012,181,140,112,25,18,Gasoline
4 Speed Automatic,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,4,Rear-wheel drive,Chevrolet,2012 Chevrolet Colorado,2012 Chevrolet Colorado Crew Cab 1LT,Automatic transmission,2012,181,140,120,25,18,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2011 Chevrolet Colorado,2011 Chevrolet Colorado Work Truck,Manual transmission,2011,181,22,112,25,18,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2011 Chevrolet Colorado,2011 Chevrolet Colorado Extended Cab Work Truck,Manual transmission,2011,181,140,112,25,18,Gasoline
4 Speed Automatic,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Colorado,2011 Chevrolet Colorado Crew Cab 1LT,Automatic transmission,2011,181,140,120,25,18,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2010 Chevrolet Colorado,2010 Chevrolet Colorado Work Truck,Manual transmission,2010,181,22,112,25,18,Gasoline
5 Speed Manual,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,5,Rear-wheel drive,Chevrolet,2010 Chevrolet Colorado,2010 Chevrolet Colorado Extended Cab Work Truck,Manual transmission,2010,181,140,112,26,20,Gasoline
4 Speed Automatic,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,185,190,FALSE,4,Rear-wheel drive,Chevrolet,2010 Chevrolet Colorado,2010 Chevrolet Colorado Crew Cab LT1,Automatic transmission,2010,181,140,120,25,18,Gasoline
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,Rear-wheel drive,Chevrolet,2012 Chevrolet Express,2012 Chevrolet Express LS 1500,Automatic transmission,2012,219,60,77,18,13,Gasoline
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,All-wheel drive,Chevrolet,2012 Chevrolet Express,2012 Chevrolet Express LS 1500 AWD,Automatic transmission,2012,219,60,77,12,9,E85
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Express,2011 Chevrolet Express LS 1500,Automatic transmission,2011,219,60,77,17,13,Gasoline
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,All-wheel drive,Chevrolet,2011 Chevrolet Express,2011 Chevrolet Express LS 1500 AWD,Automatic transmission,2011,219,60,77,17,13,Gasoline
6 Speed Automatic,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,280,295,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Express,2011 Chevrolet Express LS 2500,Automatic transmission,2011,219,60,22,12,8,E85
6 Speed Automatic,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,324,373,FALSE,6,Rear-wheel drive,Chevrolet,2011 Chevrolet Express,2011 Chevrolet Express LS 2500 6.0L,Automatic transmission,2011,219,60,22,12,8,E85
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,Rear-wheel drive,Chevrolet,2010 Chevrolet Express,2010 Chevrolet Express LS 1500,Automatic transmission,2010,224,60,24,13,10,E85
4 Speed Automatic,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,310,334,FALSE,4,All-wheel drive,Chevrolet,2010 Chevrolet Express,2010 Chevrolet Express LS 1500 AWD,Automatic transmission,2010,224,60,24,17,13,Gasoline
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Work Truck,Automatic transmission,2011,237,102,77,20,15,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Automatic transmission,2011,240,215,82,19,14,Gasoline
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Rear-wheel drive,Chevrolet,2011 Chevrolet Silverado 1500,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Automatic transmission,2011,237,215,85,20,15,Gasoline
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Rear-wheel drive,Chevrolet,2010 Chevrolet Silverado 1500,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Automatic transmission,2010,237,215,85,20,15,Gasoline
4 Speed Automatic,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,195,260,FALSE,4,Rear-wheel drive,Chevrolet,2010 Chevrolet Silverado 1500,2010 Chevrolet Silverado 1500 Work Truck,Automatic transmission,2010,237,102,77,20,15,Gasoline
4 Speed Automatic,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,302,305,FALSE,4,Rear-wheel drive,Chevrolet,2010 Chevrolet Silverado 1500,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Automatic transmission,2010,240,215,82,19,14,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,350,276,FALSE,6,Rear-wheel drive,Nissan,2011 Nissan 370Z Coupe,2011 Nissan 370Z NISMO,Manual transmission,2011,52,52,43,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,350,276,FALSE,6,Rear-wheel drive,Nissan,2010 Nissan 370Z Coupe,2010 Nissan 370Z NISMO,Manual transmission,2010,52,75,35,26,18,Gasoline
6 Speed Manual,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,350,276,FALSE,6,Rear-wheel drive,Nissan,2009 Nissan 370Z Coupe,2009 Nissan 370Z NISMO,Manual transmission,2009,52,75,35,26,18,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo C30,2011 Volvo C30 T5,Manual transmission,2011,247,168,167,29,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2011 Volvo C30,2011 Volvo C30 T5 AT,Automatic transmission,2011,247,168,167,30,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2010 Volvo C30,2010 Volvo C30 T5 AT,Automatic transmission,2010,247,155,167,30,21,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo C30,2010 Volvo C30 T5,Manual transmission,2010,247,155,167,29,21,Gasoline
6 Speed Automatic,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,530,774,FALSE,6,Rear-wheel drive,Bentley,2010 Bentley Brooklands,2010 Bentley Brooklands,Automatic transmission,2010,107,34,193,15,9,Gasoline
6 Speed Automatic,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,621,590,FALSE,6,All-wheel drive,Bentley,2012 Bentley Continental Supersports Convertible,2012 Bentley Continental Supersports Convertible,Automatic transmission,2012,153,195,99,14,8,E85
6 Speed Automatic Select Shift,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,621,590,FALSE,6,All-wheel drive,Bentley,2012 Bentley Continental Supersports Coupe,2012 Bentley Continental Supersports Coupe,Automatic transmission,2012,153,199,110,14,8,E85
6 Speed Automatic,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,621,590,FALSE,6,All-wheel drive,Bentley,2011 Bentley Continental Supersports Convertible,2011 Bentley Continental Supersports Convertible,Automatic transmission,2011,153,195,99,14,8,E85
6 Speed Automatic,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,621,590,FALSE,6,All-wheel drive,Bentley,2010 Bentley Continental Supersports,2010 Bentley Continental Supersports,Automatic transmission,2010,153,195,99,19,12,Gasoline
6 Speed Automatic,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,552,479,FALSE,6,All-wheel drive,Bentley,2012 Bentley Continental Flying Spur,2012 Bentley Continental Flying Spur,Automatic transmission,2012,184,170,118,13,8,E85
6 Speed Automatic,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,600,553,FALSE,6,All-wheel drive,Bentley,2012 Bentley Continental Flying Spur,2012 Bentley Continental Flying Spur Speed,Automatic transmission,2012,184,170,108,19,11,Gasoline
6 Speed Automatic,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,600,553,FALSE,6,All-wheel drive,Bentley,2011 Bentley Continental Flying Spur,2011 Bentley Continental Flying Spur Speed,Automatic transmission,2011,184,170,185,17,10,Gasoline
6 Speed Automatic,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,600,553,FALSE,6,All-wheel drive,Bentley,2010 Bentley Continental Flying Spur,2010 Bentley Continental Flying Spur Speed,Automatic transmission,2010,184,170,185,17,10,Gasoline
6 Speed Automatic,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,552,479,FALSE,6,All-wheel drive,Bentley,2010 Bentley Continental Flying Spur,2010 Bentley Continental Flying Spur,Automatic transmission,2010,184,170,195,17,10,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2011 Volvo C70,2011 Volvo C70 T5,Automatic transmission,2011,44,7,120,28,19,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo C70,2010 Volvo C70 T5,Manual transmission,2010,44,230,119,28,20,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2010 Volvo C70,2010 Volvo C70 T5 AT,Automatic transmission,2010,44,230,119,28,19,Gasoline
5 Speed Manual,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,168,170,FALSE,5,Front-wheel drive,Volvo,2010 Volvo S40,2010 Volvo S40 2.4i,Manual transmission,2010,234,123,172,29,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2010 Volvo S40,2010 Volvo S40 R-Design,Automatic transmission,2010,234,123,172,30,21,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2011 Volvo S40,2011 Volvo S40 T5,Automatic transmission,2011,234,123,172,30,21,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,All-wheel drive,Volvo,2010 Volvo S40,2010 Volvo S40 R-Design AWD,Manual transmission,2010,234,123,190,27,20,Gasoline
6 Speed Automatic Select Shift,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,250,266,FALSE,6,Front-wheel drive,Volvo,2012 Volvo S60,2012 Volvo S60 T5,Automatic transmission,2012,72,19,203,30,20,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2012 Volvo S60,2012 Volvo S60 T6 AWD,Automatic transmission,2012,72,19,203,26,18,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,325,354,FALSE,6,All-wheel drive,Volvo,2012 Volvo S60,2012 Volvo S60 R-Design,Automatic transmission,2012,72,19,203,26,18,Gasoline
6 Speed Automatic,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2011 Volvo S60,2011 Volvo S60 T6 AWD,Automatic transmission,2011,72,14,203,26,18,Gasoline
6 Speed Automatic Select Shift,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo S80,2011 Volvo S80 3.2,Automatic transmission,2011,69,243,213,27,19,Gasoline
6 Speed Automatic,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,311,325,FALSE,6,All-wheel drive,Volvo,2010 Volvo S80,2010 Volvo S80 V8,Automatic transmission,2010,69,243,213,22,15,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,281,295,FALSE,6,All-wheel drive,Volvo,2010 Volvo S80,2010 Volvo S80 T6 AWD,Automatic transmission,2010,69,243,213,24,16,Gasoline
6 Speed Automatic,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,235,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo S80,2010 Volvo S80 3.2,Automatic transmission,2010,69,243,213,27,18,Gasoline
5 Speed Automatic,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,5,Front-wheel drive,Volvo,2011 Volvo V50,2011 Volvo V50 T5,Automatic transmission,2011,234,169,177,30,21,Gasoline
6 Speed Manual,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,227,236,FALSE,6,All-wheel drive,Volvo,2010 Volvo V50,2010 Volvo V50 R-Design,Manual transmission,2010,234,169,193,26,20,Gasoline
5 Speed Automatic Select Shift,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,168,170,FALSE,5,Front-wheel drive,Volvo,2010 Volvo V50,2010 Volvo V50 2.4i,Automatic transmission,2010,234,169,177,31,20,Gasoline
6 Speed Automatic,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2011 Volvo XC60,2011 Volvo XC60 T6 AWD,Automatic transmission,2011,97,19,175,22,17,Gasoline
6 Speed Automatic,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo XC60,2011 Volvo XC60 3.2,Automatic transmission,2011,97,19,175,25,18,Gasoline
6 Speed Automatic Select Shift,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,281,295,FALSE,6,All-wheel drive,Volvo,2010 Volvo XC60,2010 Volvo XC60 T6 AWD,Automatic transmission,2010,97,19,175,21,16,Gasoline
6 Speed Automatic,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,235,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo XC60,2010 Volvo XC60 3.2,Automatic transmission,2010,97,19,175,27,18,Gasoline
6 Speed Automatic,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo XC70,2011 Volvo XC70 3.2,Automatic transmission,2011,69,230,66,25,18,Gasoline
6 Speed Automatic,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,300,325,FALSE,6,All-wheel drive,Volvo,2011 Volvo XC70,2011 Volvo XC70 T6 AWD,Automatic transmission,2011,69,230,66,22,17,Gasoline
6 Speed Automatic,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,281,295,FALSE,6,All-wheel drive,Volvo,2010 Volvo XC70,2010 Volvo XC70 T6 AWD,Automatic transmission,2010,69,230,66,21,16,Gasoline
6 Speed Automatic,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,235,236,FALSE,6,All-wheel drive,Volvo,2010 Volvo XC70,2010 Volvo XC70 3.2,Automatic transmission,2010,69,230,66,22,16,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Rear-wheel drive,Toyota,2011 Toyota 4Runner,2011 Toyota 4Runner SR5,Automatic transmission,2011,133,216,24,23,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2011 Toyota 4Runner,2011 Toyota 4Runner SR5 4WD,Automatic transmission,2011,24,216,24,22,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2011 Toyota 4Runner,2011 Toyota 4Runner Trail,Automatic transmission,2011,133,216,93,22,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Rear-wheel drive,Toyota,2011 Toyota 4Runner,2011 Toyota 4Runner Limited,Automatic transmission,2011,133,216,24,23,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2011 Toyota 4Runner,2011 Toyota 4Runner  Limited 4WD,Automatic transmission,2011,133,216,24,22,17,Gasoline
6 Speed Automatic,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,240,236,FALSE,6,Front-wheel drive,Volvo,2011 Volvo XC90,2011 Volvo XC90 3.2,Automatic transmission,2011,105,200,247,22,16,Gasoline
6 Speed Automatic,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,311,325,FALSE,6,All-wheel drive,Volvo,2011 Volvo XC90,2011 Volvo XC90 V8,Automatic transmission,2011,105,200,247,21,14,Gasoline
6 Speed Automatic,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,235,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo XC90,2010 Volvo XC90 3.2,Automatic transmission,2010,105,200,247,22,15,Gasoline
6 Speed Automatic,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,311,325,FALSE,6,All-wheel drive,Volvo,2010 Volvo XC90,2010 Volvo XC90 V8,Automatic transmission,2010,105,200,247,19,13,Gasoline
6 Speed Automatic,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,235,236,FALSE,6,Front-wheel drive,Volvo,2010 Volvo V70,2010 Volvo V70 3.2,Automatic transmission,2010,69,215,10,27,18,Gasoline
4 Speed Automatic,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,157,178,FALSE,4,Rear-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner SR5,Automatic transmission,2010,133,216,24,23,18,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Rear-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner SR5 V6,Automatic transmission,2010,133,216,24,23,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner SR5 V6 4WD,Automatic transmission,2010,133,216,24,22,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner Trail,Automatic transmission,2010,133,216,93,22,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Rear-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner Limited,Automatic transmission,2010,133,216,24,23,17,Gasoline
5 Speed Automatic,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,270,278,FALSE,5,Four-wheel drive,Toyota,2010 Toyota 4Runner,2010 Toyota 4Runner Limited 4WD,Automatic transmission,2010,133,216,24,22,17,Gasoline
6 Speed Manual,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,200,207,FALSE,6,Front-wheel drive,Audi,2012 Audi A3,2012 Audi A3 2.0 T,Manual transmission,2012,203,196,143,30,21,Gasoline
6 Speed Manual,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,271,251,FALSE,6,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX-L V-6 Coup,Manual transmission,2010,57,240,152,25,17,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX Coup AT,Automatic transmission,2010,57,240,152,31,21,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX-L Coup,Manual transmission,2010,57,240,152,31,22,Gasoline
5 Speed Automatic,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX-L Coup AT,Automatic transmission,2010,57,240,152,31,21,Gasoline
5 Speed Automatic,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,271,251,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX-L V-6 Coup AT,Automatic transmission,2010,57,240,152,28,19,Gasoline
5 Speed Manual,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,190,162,FALSE,5,Front-wheel drive,Honda,2010 Honda Accord Coupe,2010 Honda Accord EX Coup,Manual transmission,2010,57,240,152,31,22,Gasoline
